date,regime,sizing,sizing_smooth,vix,copper_adx
2010-08-23,NORMAL,1.0,1.0,25.66,25.0
2010-08-24,NORMAL,1.0,1.0,27.46,25.0
2010-08-25,NORMAL,1.0,1.0,26.7,100.0
2010-08-26,NORMAL,1.0,1.0,27.37,95.81278309008556
2010-08-27,NORMAL,1.0,1.0,24.45,94.16400199358655
2010-08-30,NORMAL,1.0,1.0,27.21,92.73505837662074
2010-08-31,NORMAL,1.0,1.0,26.05,89.73890797022239
2010-09-01,NORMAL,1.0,1.0,23.89,88.69173656392442
2010-09-02,NORMAL,1.0,1.0,23.19,87.98150197620593
2010-09-03,NORMAL,1.0,1.0,21.31,87.44253058950572
2010-09-06,NORMAL,1.0,1.0,21.31,87.37318988526062
2010-09-07,NORMAL,1.0,1.0,23.8,85.9505103648223
2010-09-08,NORMAL,1.0,1.0,23.25,84.7175214471091
2010-09-09,NORMAL,1.0,1.0,22.81,77.98013043707273
2010-09-10,NORMAL,1.0,1.0,21.99,68.46193926456624
2010-09-13,NORMAL,1.0,1.0,21.21,62.76626233815955
2010-09-14,NORMAL,1.0,1.0,21.56,58.55367648480385
2010-09-15,NORMAL,1.0,1.0,22.1,54.33201460376843
2010-09-16,NORMAL,1.0,1.0,21.72,52.085643157884746
2010-09-17,NORMAL,1.0,1.0,22.01,50.71531053925365
2010-09-20,NORMAL,1.0,1.0,21.5,49.52768893644004
2010-09-21,NORMAL,1.0,1.0,22.35,45.874351452203115
2010-09-22,NORMAL,1.0,1.0,22.51,46.58051081465103
2010-09-23,NORMAL,1.0,1.0,23.87,47.95378431506907
2010-09-24,NORMAL,1.0,1.0,21.71,50.11163861482429
2010-09-27,NORMAL,1.0,1.0,22.54,51.98177900794548
2010-09-28,NORMAL,1.0,1.0,22.6,53.7073682489044
2010-09-29,NORMAL,1.0,1.0,23.25,56.71173104424274
2010-09-30,NORMAL,1.0,1.0,23.7,59.31551213353596
2010-10-01,NORMAL,1.0,1.0,22.5,61.95344988514496
2010-10-04,NORMAL,1.0,1.0,23.53,64.2396626032061
2010-10-05,NORMAL,1.0,1.0,21.76,66.92549204485118
2010-10-06,NORMAL,1.0,1.0,21.49,69.75625384466952
2010-10-07,NORMAL,1.0,1.0,21.56,67.10816820816325
2010-10-08,NORMAL,1.0,1.0,20.71,65.72192357365897
2010-10-11,NORMAL,1.0,1.0,18.96,64.5205115570886
2010-10-12,NORMAL,1.0,1.0,18.93,64.11735304373572
2010-10-13,NORMAL,1.0,1.0,19.07,64.06745797799378
2010-10-14,NORMAL,1.0,1.0,19.88,64.6564961173985
2010-10-15,NORMAL,1.0,1.0,19.03,65.16699583821593
2010-10-18,NORMAL,1.0,1.0,19.09,66.30110762593664
2010-10-19,NORMAL,1.0,1.0,20.63,58.43594799710313
2010-10-20,NORMAL,1.0,1.0,19.79,51.619476318780755
2010-10-21,NORMAL,1.0,1.0,19.27,45.71186753090136
2010-10-22,NORMAL,1.0,1.0,18.78,40.59193991473922
2010-10-25,NORMAL,1.0,1.0,19.85,41.97469441425655
2010-10-26,NORMAL,1.0,1.0,20.22,43.17308164717156
2010-10-27,NORMAL,1.0,1.0,20.71,39.01736765394966
2010-10-28,NORMAL,1.0,1.0,20.88,35.41574885982402
