date,opposition_score,uncertainty_score,composite_chop
2010-08-23,,0.5,
2010-08-24,,0.5,
2010-08-25,,0.5,
2010-08-26,,0.5,
2010-08-27,,0.5,
2010-08-30,,0.5,
2010-08-31,,0.5,
2010-09-01,,0.5,
2010-09-02,,0.5,
2010-09-03,,0.5,
2010-09-06,,0.5,
2010-09-07,,0.5,
2010-09-08,,0.5,
2010-09-09,,0.5,
2010-09-10,,0.5,
2010-09-13,,0.5,
2010-09-14,,0.5,
2010-09-15,,0.5,
2010-09-16,,0.5,
2010-09-17,,0.5,
2010-09-20,,0.5,
2010-09-21,,0.5,
2010-09-22,,0.5,
2010-09-23,,0.5,
2010-09-24,,0.5,
2010-09-27,,0.5,
2010-09-28,,0.5,
2010-09-29,,0.5,
2010-09-30,,0.5,
2010-10-01,,0.5,
2010-10-04,,0.5,
2010-10-05,,0.5,
2010-10-06,,0.5,
2010-10-07,,0.5,
2010-10-08,,0.5,
2010-10-11,,0.5,
2010-10-12,,0.5,
2010-10-13,,0.5,
2010-10-14,,0.5,
2010-10-15,,0.5,
2010-10-18,,0.5,
2010-10-19,,0.5,
2010-10-20,,0.5,
2010-10-21,,0.5,
2010-10-22,,0.5,
2010-10-25,,0.5,
2010-10-26,,0.5,
2010-10-27,,0.5,
2010-10-28,,0.5,
2010-10-29,,0.5,
2010-11-01,,0.5,
2010-11-02,,0.5,
2010-11-03,,0.5,
2010-11-04,,0.5,
2010-11-05,,0.5,
2010-11-08,,0.5,
2010-11-09,,0.5,
2010-11-10,,0.5,
2010-11-11,,0.5,
2010-11-12,,0.2766666666666666,
2010-11-15,0.4878663457271945,0.2533333333333333,0.388334290623481
2010-11-16,0.522260124146162,0.57,0.5188795124606012
2010-11-17,0.5185919267959951,0.5249999999999999,0.487319526598695
2010-11-18,0.5204621156938909,0.22000000000000003,0.40027726941633457
2010-11-19,0.5194628828286665,0.1766666666666667,0.3823443963638665
2010-11-22,0.519990958970726,0.18,0.3839945753824356
2010-11-23,0.51507028427375,0.3383333333333333,0.4443755038975833
2010-11-24,0.5235594088140006,0.2616666666666667,0.41880231195506706
2010-11-25,0.5254349070362998,0.2533333333333333,0.4165942775551132
2010-11-26,0.530869128111009,0.49666666666666665,0.517188143533272
2010-11-29,0.5298145498918216,0.47000000000000003,0.505888729935093
2010-11-30,0.5374622997532016,0.6333333333333333,0.5758107131852543
2010-12-01,0.5338325545548742,0.37,0.46829953273292446
2010-12-02,0.5264982613388406,0.23666666666666664,0.410565623469971
2010-12-03,0.5223228905342984,0.06999999999999999,0.34139373432057896
2010-12-06,0.5185214722858761,0.06666666666666667,0.3377795500381923
2010-12-07,0.5168388465570525,0.043333333333333335,0.32700281850249086
2010-12-08,0.5128991602009636,0.05666666666666667,0.30394736911419495
2010-12-09,0.5146124699156978,0.016666666666666666,0.26864464372330626
2010-12-10,0.513558700998336,0.02666666666666667,0.2526545774673884
2010-12-13,0.5196841129886889,0.06000000000000001,0.23824222009841245
2010-12-14,0.5163484378183754,0.055,0.23226634388371764
2010-12-15,0.5287180373388498,0.06666666666666667,0.24072824234898355
2010-12-16,0.527565665278869,0.07333333333333333,0.24211091275045826
2010-12-17,0.5296703408736837,0.043333333333333335,0.25121659268806257
2010-12-20,0.5328674352311888,0.10666666666666667,0.274038184195255
2010-12-21,0.534720847858702,0.05,0.24765055224000154
2010-12-22,0.5334832092659016,0.03666666666666667,0.23464871401164522
2010-12-23,0.5320579331854718,0.06666666666666667,0.24778225490949632
2010-12-24,0.533677394514139,0.22833333333333333,0.3002886481415771
2010-12-27,0.531782059765937,0.18,0.2898708916114164
2010-12-28,0.5341006872181416,0.11666666666666667,0.27580102079192936
2010-12-29,0.5350497343927192,0.13,0.2753814431111754
