date,regime,sizing,hy_spread,vix
2000-01-03,NORMAL,1.0,467.0,24.21
2000-01-04,NORMAL,1.0,467.0,27.01
2000-01-05,NORMAL,1.0,467.0,26.41
2000-01-06,NORMAL,1.0,467.0,25.73
2000-01-07,NORMAL,1.0,467.0,21.72
2000-01-10,NORMAL,1.0,467.0,21.71
2000-01-11,NORMAL,1.0,467.0,22.5
2000-01-12,NORMAL,1.0,467.0,22.84
2000-01-13,NORMAL,1.0,467.0,21.71
2000-01-14,NORMAL,1.0,467.0,19.66
2000-01-17,NORMAL,1.0,467.0,19.66
2000-01-18,NORMAL,1.0,467.0,21.5
2000-01-19,NORMAL,1.0,467.0,21.72
2000-01-20,NORMAL,1.0,467.0,21.75
2000-01-21,NORMAL,1.0,467.0,20.82
2000-01-24,NORMAL,1.0,467.0,24.07
2000-01-25,NORMAL,1.0,467.0,23.02
2000-01-26,NORMAL,1.0,467.0,23.03
2000-01-27,NORMAL,1.0,467.0,23.54
2000-01-28,NORMAL,1.0,467.0,26.14
2000-01-31,NORMAL,1.0,482.0,24.95
2000-02-01,NORMAL,1.0,482.0,23.45
2000-02-02,NORMAL,1.0,482.0,23.12
2000-02-03,NORMAL,1.0,482.0,22.01
2000-02-04,NORMAL,1.0,482.0,21.54
2000-02-07,NORMAL,1.0,482.0,22.79
2000-02-08,NORMAL,1.0,482.0,21.25
2000-02-09,NORMAL,1.0,482.0,22.9
2000-02-10,NORMAL,1.0,482.0,23.07
2000-02-11,NORMAL,1.0,482.0,24.42
2000-02-14,NORMAL,1.0,482.0,24.38
2000-02-15,NORMAL,1.0,482.0,22.92
2000-02-16,NORMAL,1.0,482.0,23.51
2000-02-17,NORMAL,1.0,482.0,23.17
2000-02-18,NORMAL,1.0,482.0,26.0
2000-02-21,NORMAL,1.0,482.0,26.0
2000-02-22,NORMAL,1.0,482.0,25.86
2000-02-23,NORMAL,1.0,482.0,23.89
2000-02-24,NORMAL,1.0,482.0,24.38
2000-02-25,NORMAL,1.0,482.0,25.2
2000-02-28,NORMAL,1.0,482.0,24.68
2000-02-29,NORMAL,1.0,497.0,23.37
2000-03-01,NORMAL,1.0,497.0,21.64
2000-03-02,NORMAL,1.0,497.0,21.06
2000-03-03,NORMAL,1.0,497.0,19.21
2000-03-06,NORMAL,1.0,497.0,21.5
2000-03-07,NORMAL,1.0,497.0,24.31
2000-03-08,NORMAL,1.0,497.0,23.82
2000-03-09,NORMAL,1.0,497.0,22.21
2000-03-10,NORMAL,1.0,497.0,21.24
2000-03-13,NORMAL,1.0,497.0,22.85
2000-03-14,NORMAL,1.0,497.0,24.41
2000-03-15,NORMAL,1.0,497.0,22.34
2000-03-16,NORMAL,1.0,497.0,20.77
2000-03-17,NORMAL,1.0,497.0,22.37
2000-03-20,NORMAL,1.0,497.0,22.96
2000-03-21,NORMAL,1.0,497.0,21.7
2000-03-22,NORMAL,1.0,497.0,21.49
2000-03-23,NORMAL,1.0,497.0,22.26
2000-03-24,NORMAL,1.0,497.0,23.31
2000-03-27,NORMAL,1.0,497.0,24.53
2000-03-28,NORMAL,1.0,497.0,24.86
2000-03-29,NORMAL,1.0,497.0,24.1
2000-03-30,NORMAL,1.0,497.0,25.47
2000-03-31,NORMAL,1.0,579.0,24.11
2000-04-03,NORMAL,1.0,579.0,24.03
