date,confidence_level,pattern,days_consumption,weeks_coverage,lme_trend_60d,global_trend_60d,diagnostic_notes
2000-01-03,HIGH,ALIGNED,10.994572115384617,,,,Signals aligned - high confidence
2000-01-04,HIGH,ALIGNED,10.983341346153848,,,,Signals aligned - high confidence
2000-01-05,HIGH,ALIGNED,10.990360576923079,,,,Signals aligned - high confidence
2000-01-06,HIGH,ALIGNED,10.988605769230771,,,,Signals aligned - high confidence
2000-01-07,HIGH,ALIGNED,10.970355769230771,,,,Signals aligned - high confidence
2000-01-10,HIGH,ALIGNED,10.962283653846155,,,,Signals aligned - high confidence
2000-01-11,HIGH,ALIGNED,10.950701923076926,,,,Signals aligned - high confidence
2000-01-12,HIGH,ALIGNED,10.919466346153849,,,,Signals aligned - high confidence
2000-01-13,HIGH,ALIGNED,10.849975961538464,,,,Signals aligned - high confidence
2000-01-14,HIGH,ALIGNED,10.841201923076925,,,,Signals aligned - high confidence
2000-01-17,HIGH,ALIGNED,10.880158653846156,,,,Signals aligned - high confidence
2000-01-18,HIGH,ALIGNED,10.864716346153848,,,,Signals aligned - high confidence
2000-01-19,HIGH,ALIGNED,10.822600961538463,,,,Signals aligned - high confidence
2000-01-20,HIGH,ALIGNED,10.841552884615387,,,,Signals aligned - high confidence
2000-01-21,HIGH,ALIGNED,10.811370192307693,,,,Signals aligned - high confidence
2000-01-24,HIGH,ALIGNED,11.003346153846156,,,,Signals aligned - high confidence
2000-01-25,HIGH,ALIGNED,11.035634615384618,,,,Signals aligned - high confidence
2000-01-26,HIGH,ALIGNED,11.02475480769231,,,,Signals aligned - high confidence
2000-01-27,HIGH,ALIGNED,11.107932692307694,,,,Signals aligned - high confidence
2000-01-28,HIGH,ALIGNED,11.101966346153848,,,,Signals aligned - high confidence
2000-01-31,HIGH,ALIGNED,11.091437500000001,,,,Signals aligned - high confidence
2000-02-01,HIGH,ALIGNED,11.07283653846154,,,,Signals aligned - high confidence
2000-02-02,HIGH,ALIGNED,11.056692307692309,,,,Signals aligned - high confidence
2000-02-03,HIGH,ALIGNED,11.023701923076924,,,,Signals aligned - high confidence
2000-02-04,HIGH,ALIGNED,11.03387980769231,,,,Signals aligned - high confidence
2000-02-07,HIGH,ALIGNED,11.058096153846156,,,,Signals aligned - high confidence
2000-02-08,HIGH,ALIGNED,11.051076923076925,,,,Signals aligned - high confidence
2000-02-09,HIGH,ALIGNED,11.05002403846154,,,,Signals aligned - high confidence
2000-02-10,HIGH,ALIGNED,11.058798076923079,,,,Signals aligned - high confidence
2000-02-11,HIGH,ALIGNED,11.03633653846154,,,,Signals aligned - high confidence
2000-02-14,HIGH,ALIGNED,11.051076923076925,,,,Signals aligned - high confidence
2000-02-15,HIGH,ALIGNED,11.024052884615386,,,,Signals aligned - high confidence
2000-02-16,HIGH,ALIGNED,11.008610576923079,,,,Signals aligned - high confidence
2000-02-17,HIGH,ALIGNED,10.95877403846154,,,,Signals aligned - high confidence
2000-02-18,HIGH,ALIGNED,10.934908653846156,,,,Signals aligned - high confidence
2000-02-21,HIGH,ALIGNED,10.893144230769233,,,,Signals aligned - high confidence
2000-02-22,HIGH,ALIGNED,10.848572115384618,,,,Signals aligned - high confidence
2000-02-23,HIGH,ALIGNED,10.854187500000002,,,,Signals aligned - high confidence
2000-02-24,HIGH,ALIGNED,10.784346153846156,,,,Signals aligned - high confidence
2000-02-25,HIGH,ALIGNED,11.149697115384617,,,,Signals aligned - high confidence
2000-02-28,HIGH,ALIGNED,11.165490384615387,,,,Signals aligned - high confidence
2000-02-29,HIGH,ALIGNED,11.224100961538463,,,,Signals aligned - high confidence
2000-03-01,HIGH,ALIGNED,11.30306730769231,,,,Signals aligned - high confidence
2000-03-02,HIGH,ALIGNED,11.398528846153848,,,,Signals aligned - high confidence
2000-03-03,HIGH,ALIGNED,11.332899038461541,,,,Signals aligned - high confidence
2000-03-06,HIGH,ALIGNED,11.357466346153847,,,,Signals aligned - high confidence
2000-03-07,HIGH,ALIGNED,11.455033653846156,,,,Signals aligned - high confidence
2000-03-08,HIGH,ALIGNED,11.51539903846154,,,,Signals aligned - high confidence
2000-03-09,HIGH,ALIGNED,11.33500480769231,,,,Signals aligned - high confidence
2000-03-10,HIGH,ALIGNED,11.347639423076926,,,,Signals aligned - high confidence
2000-03-13,HIGH,ALIGNED,11.140923076923078,,,,Signals aligned - high confidence
2000-03-14,HIGH,ALIGNED,10.757322115384618,,,,Signals aligned - high confidence
2000-03-15,HIGH,ALIGNED,10.476552884615387,,,,Signals aligned - high confidence
2000-03-16,HIGH,ALIGNED,10.414783653846156,,,,Signals aligned - high confidence
2000-03-17,HIGH,ALIGNED,10.405307692307694,,,,Signals aligned - high confidence
2000-03-20,HIGH,ALIGNED,10.38600480769231,,,,Signals aligned - high confidence
2000-03-21,HIGH,ALIGNED,10.324937500000003,,,,Signals aligned - high confidence
2000-03-22,HIGH,ALIGNED,10.259307692307694,,,,Signals aligned - high confidence
2000-03-23,HIGH,ALIGNED,10.224913461538463,,,,Signals aligned - high confidence
2000-03-24,HIGH,ALIGNED,10.19683653846154,,,,Signals aligned - high confidence
2000-03-27,HIGH,ALIGNED,10.161038461538464,,-7.581319628435534,,Signals aligned - high confidence
2000-03-28,HIGH,ALIGNED,10.11681730769231,,-7.8894392075411375,,Signals aligned - high confidence
2000-03-29,HIGH,ALIGNED,10.111201923076925,,-7.99936132843685,,Signals aligned - high confidence
2000-03-30,HIGH,ALIGNED,9.91852403846154,,-9.738102842542318,,Signals aligned - high confidence
2000-03-31,HIGH,ALIGNED,9.864826923076924,,-10.077420180433805,,Signals aligned - high confidence
2000-04-03,HIGH,ALIGNED,9.809375000000001,,-10.517048183127898,,Signals aligned - high confidence
2000-04-04,HIGH,ALIGNED,9.740937500000001,,-11.047368758412922,,Signals aligned - high confidence
2000-04-05,HIGH,ALIGNED,9.686187500000003,,-11.29431427377624,,Signals aligned - high confidence
2000-04-06,HIGH,ALIGNED,9.654951923076926,,-11.014070839398348,,Signals aligned - high confidence
2000-04-07,HIGH,ALIGNED,9.515971153846156,,-12.224020718679185,,Signals aligned - high confidence
2000-04-10,HIGH,ALIGNED,9.42577403846154,,-13.367310731911875,,Signals aligned - high confidence
2000-04-11,HIGH,ALIGNED,9.413841346153848,,-13.354007171237525,,Signals aligned - high confidence
2000-04-12,HIGH,ALIGNED,9.247134615384617,,-14.557187793883974,,Signals aligned - high confidence
2000-04-13,HIGH,ALIGNED,9.221514423076925,,-14.942863617234792,,Signals aligned - high confidence
