Year,Annual Return,Annual Return %
2000,-0.059724768332850786,-5.97
2001,-0.00513880312975179,-0.51
2002,0.07988588904871996,7.99
2003,0.05704860829726499,5.7
2004,-0.011764688398174794,-1.18
2005,0.038352770090369415,3.84
2006,0.04437559784444156,4.44
2007,0.027767136022827543,2.78
2008,0.05860268488497722,5.86
2009,0.061965579662516035,6.2
2010,-0.022688002083684045,-2.27
2011,0.005862824482209428,0.59
2012,0.14375714919900506,14.38
2013,0.0628941318115217,6.29
2014,0.10674659644128659,10.67
2015,0.05003176476542781,5.0
2016,0.06833770300635522,6.83
2017,0.10947345674381248,10.95
2018,0.06667743135505044,6.67
2019,0.028844986672310835,2.88
2020,0.023884652693463515,2.39
2021,0.0725777835372905,7.26
2022,0.036471573811585056,3.65
2023,0.031940655275803254,3.19
2024,0.05712791991337762,5.71
2025,0.037925451191588744,3.79
