date,price,ret,pos,pos_for_ret_t,trade,cost,pnl_gross,pnl_net
2003-12-11,2141.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2003-12-12,2157.5,0.007706679121905591,0.0,0.0,0.0,-0.0,0.0,0.0
2003-12-15,2177.0,0.009038238702201662,0.0,0.0,0.0,-0.0,0.0,0.0
2003-12-16,2203.0,0.011943040881947642,0.0,0.0,0.0,-0.0,0.0,0.0
2003-12-17,2185.0,-0.008170676350431227,0.0,0.0,0.0,-0.0,-0.0,-0.0
2003-12-18,2225.0,0.01830663615560635,0.0,0.0,0.0,-0.0,0.0,0.0
2003-12-19,2238.0,0.005842696629213551,0.0,0.0,0.0,-0.0,0.0,0.0
2003-12-22,2220.0,-0.008042895442359255,0.0,0.0,0.0,-0.0,-0.0,-0.0
2003-12-23,2237.0,0.0076576576576576905,0.0,0.0,0.0,-0.0,0.0,0.0
2003-12-24,2240.0,0.0013410818059902407,0.0,0.0,0.0,-0.0,0.0,0.0
2003-12-25,2240.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2003-12-26,2240.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2003-12-29,2281.0,0.01830357142857153,0.0,0.0,0.0,-0.0,0.0,0.0
2003-12-30,2278.0,-0.0013152126260411734,0.0,0.0,0.0,-0.0,-0.0,-0.0
2003-12-31,2301.0,0.010096575943810304,0.0,0.0,0.0,-0.0,0.0,0.0
2004-01-01,2301.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2004-01-02,2348.0,0.02042590178183401,0.0,0.0,0.0,-0.0,0.0,0.0
2004-01-05,2377.0,0.012350936967632009,0.0,0.0,0.0,-0.0,0.0,0.0
2004-01-06,2342.0,-0.01472444257467398,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-01-07,2336.0,-0.002561912894961549,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-01-08,2404.0,0.02910958904109595,0.0,0.0,0.0,-0.0,0.0,0.0
2004-01-09,2418.0,0.005823627287853572,0.0,0.0,0.0,-0.0,0.0,0.0
2004-01-12,2371.0,-0.01943755169561623,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-01-13,2372.0,0.00042176296921137,0.0,0.0,0.0,-0.0,0.0,0.0
2004-01-14,2396.0,0.010118043844856706,0.0,0.0,0.0,-0.0,0.0,0.0
2004-01-15,2359.0,-0.015442404006677846,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-01-16,2388.0,0.012293344637558379,0.0,0.0,0.0,-0.0,0.0,0.0
2004-01-19,2422.0,0.014237855946398703,0.0,0.0,0.0,-0.0,0.0,0.0
2004-01-20,2450.0,0.011560693641618602,0.0,0.0,0.0,-0.0,0.0,0.0
2004-01-21,2448.0,-0.0008163265306122547,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-01-22,2458.0,0.004084967320261423,0.0,0.0,0.0,-0.0,0.0,0.0
2004-01-23,2460.0,0.0008136696501219731,0.0,0.0,0.0,-0.0,0.0,0.0
2004-01-26,2446.0,-0.005691056910569148,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-01-27,2440.0,-0.002452984464431762,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-01-28,2465.0,0.010245901639344357,0.0,0.0,0.0,-0.0,0.0,0.0
2004-01-29,2454.0,-0.0044624746450304675,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-01-30,2497.0,0.017522412387938058,0.0,0.0,0.0,-0.0,0.0,0.0
2004-02-02,2497.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2004-02-03,2544.0,0.018822587104525335,0.0,0.0,0.0,-0.0,0.0,0.0
2004-02-04,2553.0,0.0035377358490567,0.0,0.0,0.0,-0.0,0.0,0.0
2004-02-05,2554.0,0.00039169604386990464,0.0,0.0,0.0,-0.0,0.0,0.0
2004-02-06,2572.0,0.007047768206734473,0.0,0.0,0.0,-0.0,0.0,0.0
2004-02-09,2578.0,0.00233281493001547,0.0,0.0,0.0,-0.0,0.0,0.0
2004-02-10,2565.0,-0.005042668735453892,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-02-11,2612.0,0.01832358674463941,0.0,0.0,0.0,-0.0,0.0,0.0
2004-02-12,2702.0,0.034456355283307705,0.0,0.0,0.0,-0.0,0.0,0.0
2004-02-13,2690.0,-0.004441154700222105,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-02-16,2730.0,0.014869888475836479,0.0,0.0,0.0,-0.0,0.0,0.0
2004-02-17,2826.0,0.03516483516483526,0.0,0.0,0.0,-0.0,0.0,0.0
2004-02-18,2790.0,-0.01273885350318471,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-02-19,2872.0,0.029390681003584218,0.0,0.0,0.0,-0.0,0.0,0.0
2004-02-20,2874.0,0.0006963788300835549,0.0,0.0,0.0,-0.0,0.0,0.0
2004-02-23,2863.0,-0.0038274182324287143,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-02-24,2890.0,0.009430667132378723,0.0,0.0,0.0,-0.0,0.0,0.0
2004-02-25,2953.0,0.02179930795847751,0.0,0.0,0.0,-0.0,0.0,0.0
2004-02-26,2922.0,-0.010497798848628559,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-02-27,2938.0,0.005475701574264136,0.0,0.0,0.0,-0.0,0.0,0.0
2004-03-01,3030.0,0.03131381892443841,0.0,0.0,0.0,-0.0,0.0,0.0
2004-03-02,3002.0,-0.009240924092409286,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-03-03,2845.0,-0.052298467688207895,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-03-04,2885.0,0.014059753954305698,0.0,0.0,0.0,-0.0,0.0,0.0
2004-03-05,2930.0,0.015597920277296451,0.0,0.0,0.0,-0.0,0.0,0.0
2004-03-08,2862.0,-0.02320819112627981,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-03-09,2776.0,-0.030048916841369677,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-03-10,2822.0,0.016570605187319787,0.0,0.0,0.0,-0.0,0.0,0.0
2004-03-11,2903.0,0.028703047484053945,0.0,0.0,0.0,-0.0,0.0,0.0
2004-03-12,2864.0,-0.013434378229417843,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-03-15,2930.0,0.02304469273743015,0.0,0.0,0.0,-0.0,0.0,0.0
2004-03-16,2994.0,0.021843003412969297,0.0,0.0,0.0,-0.0,0.0,0.0
2004-03-17,2940.0,-0.018036072144288595,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-03-18,2992.0,0.017687074829932037,0.0,0.0,0.0,-0.0,0.0,0.0
2004-03-19,3004.0,0.00401069518716568,0.0,0.0,0.0,-0.0,0.0,0.0
2004-03-22,2965.0,-0.012982689747004006,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-03-23,2936.0,-0.009780775716694778,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-03-24,2972.0,0.012261580381471404,0.0,0.0,0.0,-0.0,0.0,0.0
2004-03-25,2906.0,-0.022207267833109,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-03-26,2957.0,0.017549896765313155,0.0,0.0,0.0,-0.0,0.0,0.0
2004-03-29,2971.0,0.004734528238079072,0.0,0.0,0.0,-0.0,0.0,0.0
2004-03-30,2952.0,-0.006395153147088495,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-03-31,2980.0,0.009485094850948617,0.0,0.0,0.0,-0.0,0.0,0.0
2004-04-01,3015.0,0.011744966442952975,0.0,0.0,0.0,-0.0,0.0,0.0
2004-04-02,2976.5,-0.012769485903814215,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-04-05,2880.0,-0.03242062825466152,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-04-06,2920.0,0.01388888888888884,0.0,0.0,0.0,-0.0,0.0,0.0
2004-04-07,2875.0,-0.015410958904109595,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-04-08,2872.0,-0.0010434782608695903,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-04-09,2872.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2004-04-12,2872.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
