tag,rsi_length,vol_gate_ratio,early_exit,exec_days,all_sharpe,all_ann_return,all_ann_vol,all_max_dd,all_trades,all_pct_in_pos,is_sharpe,is_ann_return,is_max_dd,oos_sharpe,oos_ann_return,oos_max_dd,oos_trades,oos_pct_in_pos,non_exec_turnover_days,rank_key
RSI3_VG1.10_EEOFF_EXMon-Tue,3,1.100000,off,"Mon,Tue",0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EEOFF_EXMon-Wed,3,1.100000,off,"Mon,Wed",0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EEOFF_EXMon-Thu,3,1.100000,off,"Mon,Thu",0.035145,0.002470,0.070268,-0.266565,509,0.446859,0.035145,0.002470,-0.266565,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EEOFF_EXMon-Fri,3,1.100000,off,"Mon,Fri",0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EEOFF_EXTue-Wed,3,1.100000,off,"Tue,Wed",0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EEOFF_EXTue-Thu,3,1.100000,off,"Tue,Thu",0.035145,0.002470,0.070268,-0.266565,509,0.446859,0.035145,0.002470,-0.266565,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EEOFF_EXTue-Fri,3,1.100000,off,"Tue,Fri",0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EEOFF_EXWed-Thu,3,1.100000,off,"Wed,Thu",0.035145,0.002470,0.070268,-0.266565,509,0.446859,0.035145,0.002470,-0.266565,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EEOFF_EXWed-Fri,3,1.100000,off,"Wed,Fri",0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EEOFF_EXThu-Fri,3,1.100000,off,"Thu,Fri",0.035145,0.002470,0.070268,-0.266565,509,0.446859,0.035145,0.002470,-0.266565,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EEOFF_EXMon-Tue-Wed-Thu-Fri,3,1.100000,off,"Mon,Tue,Wed,Thu,Fri",0.035145,0.002470,0.070268,-0.266565,509,0.446859,0.035145,0.002470,-0.266565,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EE4060_EXMon-Tue,3,1.100000,on(40-60),"Mon,Tue",0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EE4060_EXMon-Wed,3,1.100000,on(40-60),"Mon,Wed",0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EE4060_EXMon-Thu,3,1.100000,on(40-60),"Mon,Thu",-0.149086,-0.009528,0.063911,-0.410931,562,0.372432,-0.149086,-0.009528,-0.410931,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EE4060_EXMon-Fri,3,1.100000,on(40-60),"Mon,Fri",0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EE4060_EXTue-Wed,3,1.100000,on(40-60),"Tue,Wed",0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EE4060_EXTue-Thu,3,1.100000,on(40-60),"Tue,Thu",-0.149086,-0.009528,0.063911,-0.410931,562,0.372432,-0.149086,-0.009528,-0.410931,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EE4060_EXTue-Fri,3,1.100000,on(40-60),"Tue,Fri",0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EE4060_EXWed-Thu,3,1.100000,on(40-60),"Wed,Thu",-0.149086,-0.009528,0.063911,-0.410931,562,0.372432,-0.149086,-0.009528,-0.410931,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EE4060_EXWed-Fri,3,1.100000,on(40-60),"Wed,Fri",0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
RSI3_VG1.10_EE4060_EXThu-Fri,3,1.100000,on(40-60),"Thu,Fri",-0.149086,-0.009528,0.063911,-0.410931,562,0.372432,-0.149086,-0.009528,-0.410931,,,,0,0.000000,0,"(-9000000000.0, -9000000000.0, -9000000000.0)"
