fold,phase,train_start,train_end,test_start,test_end,sharpe,max_drawdown,turnover,hit_rate,tail_ratio
0,train,2008-01-01,2012-12-31,2013-01-01,2013-12-31,-0.2712784535448844,-17.060301315759794,16.393746423551516,0.1578544061302682,0.9148731732624322
0,test,2008-01-01,2012-12-31,2013-01-01,2013-12-31,1.2542974643691904,-3.5862241517184312,20.87011819676879,0.1417624521072797,1.5243892210152616
1,train,2008-04-01,2013-03-31,2013-04-01,2014-03-31,-0.29166765330941724,-18.470724700342046,17.27912626200187,0.15874233128834356,0.8976204435162959
1,test,2008-04-01,2013-03-31,2013-04-01,2014-03-31,-1.532486437321188,-6.934327681407804,17.25049972244183,0.06130268199233716,0.16406649939483797
2,train,2008-07-01,2013-06-30,2013-07-01,2014-06-30,-0.08025087070939493,-13.632997388988255,17.067810258698508,0.15184049079754602,0.9404082443696664
2,test,2008-07-01,2013-06-30,2013-07-01,2014-06-30,-0.4486344015729941,-4.207101477155062,25.70638906179236,0.1111111111111111,0.8190072073799284
3,train,2008-10-01,2013-09-30,2013-10-01,2014-09-30,0.1385347224731839,-12.013365535902121,18.291807902978917,0.147239263803681,1.0646183619681817
3,test,2008-10-01,2013-09-30,2013-10-01,2014-09-30,-0.37757919977750265,-5.73734275203538,32.14682172640142,0.14559386973180077,0.7557423907627578
4,train,2009-01-01,2013-12-31,2014-01-01,2014-12-31,0.1884029148348761,-12.013365535902254,19.28936684531461,0.1579754601226994,1.0311162043885482
4,test,2009-01-01,2013-12-31,2014-01-01,2014-12-31,1.0292178577277373,-2.781440530185919,26.93520992367361,0.12643678160919541,1.0605084034042687
5,train,2009-04-01,2014-03-31,2014-04-01,2015-03-31,0.01676169982868284,-12.013365535902231,20.003560365211914,0.1495398773006135,1.044196998712852
5,test,2009-04-01,2014-03-31,2014-04-01,2015-03-31,-0.38693760910853126,-9.920668814982402,28.908086268890294,0.1532567049808429,1.3297026926213291
6,train,2009-07-01,2014-06-30,2014-07-01,2015-06-30,0.01160092184506563,-12.01336553590222,20.919325843583348,0.15107361963190183,1.0413343176221594
6,test,2009-07-01,2014-06-30,2014-07-01,2015-06-30,-1.1334440282795546,-12.615732786332078,20.62449045662896,0.13026819923371646,1.1457666151486094
7,train,2009-10-01,2014-09-30,2014-10-01,2015-09-30,0.12168899251329096,-12.01336553590222,22.5728142306415,0.15720858895705522,1.039092694918972
7,test,2009-10-01,2014-09-30,2014-10-01,2015-09-30,-1.5269140805054,-13.559745987895688,16.969595244849277,0.13026819923371646,1.011627204059713
8,train,2010-01-01,2014-12-31,2015-01-01,2015-12-31,0.25900023483800816,-12.013365535902231,22.652085601747068,0.15337423312883436,1.1168922268858013
8,test,2010-01-01,2014-12-31,2015-01-01,2015-12-31,-1.537740099391723,-11.117634249052132,11.851638601260754,0.10344827586206896,0.38237598627135627
9,train,2010-04-01,2015-03-31,2015-04-01,2016-03-31,-0.1632360944223794,-15.801717090666168,23.78938162037805,0.15644171779141106,1.0406693607666788
9,test,2010-04-01,2015-03-31,2015-04-01,2016-03-31,-1.4418480118931696,-9.792168351974661,13.374155303637064,0.13358778625954199,0.7657332834103215
10,train,2010-07-01,2015-06-30,2015-07-01,2016-06-30,-0.29181996595164866,-18.32082725426615,24.287065984970656,0.15950920245398773,1.0144434853992845
10,test,2010-07-01,2015-06-30,2015-07-01,2016-06-30,-1.1498129149203478,-10.51060809470654,16.993331938704458,0.1450381679389313,0.7512930247556944
