date,eq_trend,eq_hook,eq_combo
2008-01-02,1.0,1.0,1.0
2008-01-03,1.0,1.0,1.0
2008-01-04,1.0,1.0,1.0
2008-01-07,1.0,1.0,1.0
2008-01-08,1.0,1.0,1.0
2008-01-09,1.0,1.0,1.0
2008-01-10,1.0,1.0,1.0
2008-01-11,1.0,1.0,1.0
2008-01-14,1.0,1.0,1.0
2008-01-15,1.0,1.0,1.0
2008-01-16,1.0,1.0,1.0
2008-01-17,1.0,1.0,1.0
2008-01-18,1.0,1.0,1.0
2008-01-21,1.0,1.0,1.0
2008-01-22,1.0,1.0,1.0
2008-01-23,1.0,1.0,1.0
2008-01-24,1.0,1.0,1.0
2008-01-25,1.0,1.0,1.0
2008-01-28,1.0,1.0,1.0
2008-01-29,1.0,1.0,1.0
2008-01-30,1.0,1.0,1.0
2008-01-31,1.0,1.0,1.0
2008-02-01,1.0,1.0,1.0
2008-02-04,1.0,1.0,1.0
2008-02-05,1.0,1.0,1.0
2008-02-06,1.0,1.0,1.0
2008-02-07,1.0,1.0,1.0
2008-02-08,1.0,1.0,1.0
2008-02-11,1.0,1.0,1.0
2008-02-12,1.0,1.0,1.0
2008-02-13,1.0,1.0,1.0
2008-02-14,1.0,1.0,1.0
2008-02-15,1.0,1.0,1.0
2008-02-18,1.0,1.0,1.0
2008-02-19,1.0,1.0,1.0
2008-02-20,1.0,1.0,1.0
2008-02-21,1.0,1.0,1.0
2008-02-22,1.0,1.0,1.0
2008-02-25,1.0,1.0,1.0
2008-02-26,1.0,1.0,1.0
2008-02-27,1.0,1.0,1.0
2008-02-28,1.0,1.0,1.0
2008-02-29,1.0,1.0,1.0
2008-03-03,1.0,1.0,1.0
2008-03-04,1.0,1.0,1.0
2008-03-05,1.0,1.0,1.0
2008-03-06,1.0,1.0,1.0
2008-03-07,1.0,1.0,1.0
2008-03-10,1.0,1.0,1.0
2008-03-11,1.0,1.0,1.0
2008-03-12,1.0,1.0,1.0
2008-03-13,1.0,1.0,1.0
2008-03-14,1.0,1.0,1.0
2008-03-17,1.0,1.0,1.0
2008-03-18,1.0,1.0,1.0
2008-03-19,1.0,1.0,1.0
2008-03-20,1.0,1.0,1.0
2008-03-21,1.0,1.0,1.0
2008-03-24,1.0,1.0,1.0
2008-03-25,1.0,1.0,1.0
2008-03-26,1.0037348388697354,1.0,1.0018674194348678
2008-03-27,1.0157463233062882,1.0,1.0078619881446589
2008-03-28,1.0102513893606846,1.0,1.0051358473139873
2008-03-31,1.0104513588334798,1.0,1.0052353257643967
2008-04-01,1.0086072397114958,1.0,1.0043180259507392
2008-04-02,1.0146878229174168,1.0,1.0073453883776373
2008-04-03,1.0155531744608812,1.0,1.007774933242051
2008-04-04,1.0207384840374683,1.0,1.010347730582357
2008-04-07,1.022198486211387,1.0,1.0110703005187962
2008-04-08,1.0158018163342293,1.0,1.0079067843219625
2008-04-09,1.0245881116746056,1.0,1.0122657874957213
2008-04-10,1.0184750738698476,1.0,1.0092460281617432
2008-04-11,1.0205987624314377,1.0,1.010298250401063
2008-04-14,1.0167721410303812,1.0,1.0084042500119068
2008-04-15,1.0138301522678161,1.0,1.0069453617064839
2008-04-16,1.0215777059903544,1.0,1.0107928322458197
2008-04-17,1.0182806978745906,1.0,1.0091617315709869
2008-04-18,1.0166186145517284,1.0,1.0083381321019917
2008-04-21,1.014612068103847,1.0,1.0073430306606688
2008-04-22,1.022141664268136,1.0,1.0110808564062077
2008-04-23,1.01725640740711,1.0,1.0086646601667426
2008-04-24,1.015141670757005,1.0,1.007616222374172
2008-04-25,1.018366266035516,1.0,1.0092165677283313
