dt,signal_raw,signal_exec,position_raw_t1,position_vt
2000-01-03,0.0,0.0,0.0,0.0
2000-01-04,0.0,0.0,0.0,0.0
2000-01-05,0.0,0.0,0.0,0.0
2000-01-06,0.0,0.0,0.0,0.0
2000-01-07,0.0,0.0,0.0,0.0
2000-01-10,0.0,0.0,0.0,0.0
2000-01-11,0.0,0.0,0.0,0.0
2000-01-12,0.0,0.0,0.0,0.0
2000-01-13,0.0,0.0,0.0,0.0
2000-01-14,0.0,0.0,0.0,0.0
2000-01-17,0.0,0.0,0.0,0.0
2000-01-18,0.0,0.0,0.0,0.0
2000-01-19,0.0,0.0,0.0,0.0
2000-01-20,0.0,0.0,0.0,0.0
2000-01-21,0.0,0.0,0.0,0.0
2000-01-24,0.0,0.0,0.0,0.0
2000-01-25,0.0,0.0,0.0,0.0
2000-01-26,0.0,0.0,0.0,0.0
2000-01-27,0.0,0.0,0.0,0.0
2000-01-28,0.0,0.0,0.0,0.0
2000-01-31,0.0,0.0,0.0,0.0
2000-02-01,0.0,0.0,0.0,0.0
2000-02-02,0.0,0.0,0.0,0.0
2000-02-03,0.0,0.0,0.0,0.0
2000-02-04,0.0,0.0,0.0,0.0
2000-02-07,0.0,0.0,0.0,0.0
2000-02-08,0.0,0.0,0.0,0.0
2000-02-09,0.0,0.0,0.0,0.0
2000-02-10,0.0,0.0,0.0,0.0
2000-02-11,0.0,0.0,0.0,0.0
2000-02-14,0.0,0.0,0.0,0.0
2000-02-15,0.0,0.0,0.0,0.0
2000-02-16,0.0,0.0,0.0,0.0
2000-02-17,0.0,0.0,0.0,0.0
2000-02-18,0.0,0.0,0.0,0.0
2000-02-21,0.0,0.0,0.0,0.0
2000-02-22,0.0,0.0,0.0,0.0
2000-02-23,0.0,0.0,0.0,0.0
2000-02-24,0.0,0.0,0.0,0.0
2000-02-25,0.0,0.0,0.0,0.0
2000-02-28,0.0,0.0,0.0,0.0
2000-02-29,0.0,0.0,0.0,0.0
2000-03-01,0.0,0.0,0.0,0.0
2000-03-02,0.0,0.0,0.0,0.0
2000-03-03,0.0,0.0,0.0,0.0
2000-03-06,0.0,0.0,0.0,0.0
2000-03-07,0.0,0.0,0.0,0.0
2000-03-08,0.0,0.0,0.0,0.0
2000-03-09,0.0,0.0,0.0,0.0
2000-03-10,0.0,0.0,0.0,0.0
2000-03-13,0.0,0.0,0.0,0.0
2000-03-14,0.0,0.0,0.0,0.0
2000-03-15,0.0,0.0,0.0,0.0
2000-03-16,0.0,0.0,0.0,0.0
2000-03-17,0.0,0.0,0.0,0.0
2000-03-20,0.0,0.0,0.0,0.0
2000-03-21,0.0,0.0,0.0,0.0
2000-03-22,0.0,0.0,0.0,0.0
2000-03-23,0.0,0.0,0.0,0.0
2000-03-24,0.0,0.0,0.0,0.0
2000-03-27,0.0,0.0,0.0,0.0
2000-03-28,0.0,0.0,0.0,0.0
2000-03-29,0.0,0.0,0.0,0.0
2000-03-30,0.0,0.0,0.0,0.0
2000-03-31,0.0,0.0,0.0,0.0
2000-04-03,0.0,0.0,0.0,0.0
2000-04-04,0.0,0.0,0.0,0.0
2000-04-05,0.0,0.0,0.0,0.0
2000-04-06,1.0,0.0,0.0,0.0
2000-04-07,1.0,0.0,0.0,0.0
2000-04-10,1.0,0.0,0.0,0.0
2000-04-11,0.0,0.0,0.0,0.0
2000-04-12,0.0,0.0,0.0,0.0
2000-04-13,0.0,0.0,0.0,0.0
2000-04-14,1.0,0.0,0.0,0.0
2000-04-17,1.0,0.0,0.0,0.0
2000-04-18,1.0,0.0,0.0,0.0
2000-04-19,0.0,1.0,0.0,0.0
2000-04-20,0.0,1.0,1.0,0.5622745191744869
2000-04-21,-1.0,1.0,1.0,0.5622745191744869
2000-04-24,0.0,0.0,1.0,0.5612382703483728
2000-04-25,-1.0,0.0,0.0,0.0
2000-04-26,-1.0,-1.0,0.0,0.0
2000-04-27,-1.0,-1.0,-1.0,-0.5372069234551876
2000-04-28,-1.0,-1.0,-1.0,-0.5372069234551876
2000-05-01,-1.0,-1.0,-1.0,-0.5272068090888787
2000-05-02,-1.0,-1.0,-1.0,-0.5272068090888787
2000-05-03,0.0,-1.0,-1.0,-0.48695454321216114
2000-05-04,-1.0,-1.0,-1.0,-0.48695454321216114
2000-05-05,-1.0,-1.0,-1.0,-0.48695454321216114
2000-05-08,-1.0,0.0,-1.0,-0.5500954339557848
2000-05-09,0.0,0.0,0.0,0.0
2000-05-10,0.0,0.0,0.0,0.0
2000-05-11,0.0,0.0,0.0,0.0
2000-05-12,0.0,0.0,0.0,0.0
2000-05-15,-1.0,0.0,0.0,0.0
2000-05-16,-1.0,0.0,0.0,0.0
2000-05-17,0.0,-1.0,0.0,0.0
2000-05-18,0.0,-1.0,-1.0,-0.6683667604521059
2000-05-19,0.0,-1.0,-1.0,-0.6683667604521059
2000-05-22,0.0,0.0,-1.0,-0.6823037867635037
2000-05-23,0.0,0.0,0.0,0.0
2000-05-24,0.0,0.0,0.0,0.0
2000-05-25,0.0,0.0,0.0,0.0
2000-05-26,0.0,0.0,0.0,0.0
2000-05-29,0.0,0.0,0.0,0.0
2000-05-30,1.0,0.0,0.0,0.0
2000-05-31,1.0,1.0,0.0,0.0
2000-06-01,1.0,1.0,1.0,0.6002285027958525
2000-06-02,1.0,1.0,1.0,0.6002285027958525
2000-06-05,1.0,1.0,1.0,0.6235142394382097
2000-06-06,0.0,1.0,1.0,0.6235142394382097
2000-06-07,1.0,0.0,1.0,0.55997641520645
2000-06-08,0.0,0.0,0.0,0.0
2000-06-09,0.0,0.0,0.0,0.0
2000-06-12,0.0,1.0,0.0,0.0
