date,price,position
2019-01-01,5957.5,0.0
2019-01-02,5851.0,0.0
2019-01-03,5759.0,0.0
2019-01-04,5940.5,0.0
2019-01-07,5944.5,0.0
2019-01-08,5932.5,0.0
2019-01-09,5995.0,0.0
2019-01-10,5972.0,0.0
2019-01-11,5978.0,0.0
2019-01-14,5940.75,0.0
2019-01-15,5959.0,0.0
2019-01-16,6005.0,0.0
2019-01-17,6030.0,0.0
2019-01-18,6080.0,0.0
2019-01-21,6018.0,0.0
2019-01-22,5972.0,0.0
2019-01-23,5996.75,0.0
2019-01-24,5971.0,0.0
2019-01-25,6096.0,0.0
2019-01-28,6048.25,0.0
2019-01-29,6085.5,1.0
2019-01-30,6170.0,1.0
2019-01-31,6204.0,1.0
2019-02-01,6183.5,1.0
2019-02-04,6215.5,1.0
2019-02-05,6272.0,1.0
2019-02-06,6314.0,1.0
2019-02-07,6276.5,1.0
2019-02-08,6239.5,1.0
2019-02-11,6167.0,1.0
2019-02-12,6125.25,1.0
2019-02-13,6125.5,1.0
2019-02-14,6143.0,1.0
2019-02-15,6200.0,1.0
2019-02-18,6284.5,1.0
2019-02-19,6324.25,1.0
2019-02-20,6416.0,1.0
2019-02-21,6397.5,1.0
2019-02-22,6479.5,1.0
2019-02-25,6481.5,1.0
2019-02-26,6499.25,1.0
2019-02-27,6510.5,1.0
2019-02-28,6521.0,1.0
2019-03-01,6484.5,1.0
2019-03-04,6407.5,1.0
2019-03-05,6477.5,1.0
2019-03-06,6484.5,1.0
2019-03-07,6430.0,1.0
2019-03-08,6406.0,1.0
2019-03-11,6416.0,1.0
2019-03-12,6488.5,1.0
2019-03-13,6479.5,1.0
2019-03-14,6425.0,1.0
2019-03-15,6440.75,1.0
2019-03-18,6433.25,1.0
2019-03-19,6478.0,1.0
2019-03-20,6476.5,1.0
2019-03-21,6444.0,1.0
2019-03-22,6335.0,-1.0
2019-03-25,6366.0,-1.0
2019-03-26,6340.25,-1.0
2019-03-27,6349.0,-1.0
2019-03-28,6370.75,-1.0
2019-03-29,6489.5,0.0
2019-04-01,6481.5,1.0
2019-04-02,6450.5,0.0
2019-04-03,6508.0,0.0
2019-04-04,6478.5,0.0
2019-04-05,6441.0,0.0
2019-04-08,6516.0,1.0
2019-04-09,6523.5,1.0
2019-04-10,6508.0,1.0
2019-04-11,6452.0,1.0
2019-04-12,6521.5,1.0
2019-04-15,6521.5,1.0
2019-04-16,6534.25,1.0
2019-04-17,6592.5,1.0
2019-04-18,6515.75,1.0
2019-04-19,6515.75,1.0
2019-04-22,6515.75,1.0
2019-04-23,6445.5,1.0
2019-04-24,6480.75,1.0
2019-04-25,6401.25,1.0
2019-04-26,6436.0,0.0
2019-04-29,6437.75,0.0
2019-04-30,6455.0,0.0
2019-05-01,6285.0,-1.0
2019-05-02,6210.0,-1.0
2019-05-03,6278.0,-1.0
2019-05-06,6278.0,-1.0
2019-05-07,6232.0,-1.0
2019-05-08,6201.5,-1.0
2019-05-09,6143.5,-1.0
2019-05-10,6174.5,-1.0
2019-05-13,6057.5,-1.0
2019-05-14,6079.0,-1.0
2019-05-15,6136.5,-1.0
2019-05-16,6155.5,-1.0
2019-05-17,6110.25,-1.0
