date,price,high,low,ret,year,signal,strat_ret
2000-01-04,1924.5,1875.0,1860.0,,2000,0.0,
2000-01-05,1931.25,1875.0,1841.0,0.0035074045206546778,2000,0.0,0.0
2000-01-06,1924.75,1872.0,1852.0,-0.0033656957928802633,2000,0.0,-0.0
2000-01-07,1932.5,1885.0,1855.0,0.004026496947655556,2000,0.0,0.0
2000-01-10,1920.0,1871.0,1857.0,-0.0064683053040103244,2000,0.0,-0.0
2000-01-11,1925.5,1864.0,1850.0,0.0028645833333333925,2000,0.0,0.0
2000-01-12,1947.75,1882.0,1860.0,0.011555440145416762,2000,0.0,0.0
2000-01-13,1947.75,1898.0,1882.0,0.0,2000,0.0,0.0
2000-01-14,1952.75,1892.0,1878.0,0.002567064561673771,2000,0.0,0.0
2000-01-17,1959.25,1900.0,1881.0,0.0033286390987068426,2000,0.0,0.0
2000-01-18,1968.25,1912.0,1872.0,0.004593594487686703,2000,0.0,0.0
2000-01-19,1992.75,1935.0,1904.0,0.012447605741140677,2000,0.0,0.0
2000-01-20,1981.5,1945.0,1921.0,-0.005645464809935996,2000,0.0,-0.0
2000-01-21,1976.0,1933.0,1912.0,-0.0027756749936916902,2000,0.0,-0.0
2000-01-24,1952.5,1913.0,1891.0,-0.01189271255060731,2000,0.0,-0.0
2000-01-25,1945.0,1899.0,1880.0,-0.003841229193341844,2000,0.0,-0.0
2000-01-26,1918.5,1887.0,1848.0,-0.01362467866323902,2000,0.0,-0.0
2000-01-27,1928.0,1867.0,1843.0,0.004951785248892282,2000,0.0,0.0
2000-01-28,1924.0,1880.0,1838.0,-0.0020746887966804906,2000,0.0,-0.0
2000-01-31,1933.0,1875.0,1845.0,0.004677754677754775,2000,0.0,0.0
2000-02-01,1921.75,1882.0,1853.0,-0.005819968960165567,2000,0.0,-0.0
2000-02-02,1894.5,1862.0,1820.0,-0.014179784050995181,2000,0.0,-0.0
2000-02-03,1884.25,1829.0,1807.0,-0.005410398522037507,2000,0.0,-0.0
2000-02-04,1885.25,1822.0,1800.0,0.0005307151386493292,2000,0.0,0.0
2000-02-07,1889.0,1828.0,1816.0,0.0019891261105953184,2000,0.0,0.0
2000-02-08,1880.75,1834.0,1812.0,-0.00436739015352039,2000,0.0,-0.0
2000-02-09,1882.5,1822.0,1813.0,0.0009304798617573162,2000,-1.0,0.0
2000-02-10,1942.5,1878.0,1822.0,0.031872509960159334,2000,0.0,-0.031872509960159334
2000-02-11,1936.25,1890.0,1865.0,-0.003217503217503248,2000,0.0,-0.0
2000-02-14,1928.25,1883.0,1845.0,-0.0041316978695933315,2000,-1.0,-0.0
2000-02-15,1911.5,1868.0,1829.0,-0.008686632957344731,2000,0.0,0.008686632957344731
2000-02-16,1903.0,1834.0,1821.0,-0.004446769552707286,2000,0.0,-0.0
2000-02-17,1908.5,1847.0,1822.0,0.0028901734104045396,2000,0.0,0.0
2000-02-18,1908.0,1859.0,1844.0,-0.00026198585276393516,2000,0.0,-0.0
2000-02-21,1887.25,1834.0,1821.0,-0.010875262054507284,2000,0.0,-0.0
2000-02-22,1896.75,1834.0,1819.0,0.005033779308517783,2000,0.0,0.0
2000-02-23,1919.25,1862.0,1839.0,0.011862396204033177,2000,0.0,0.0
2000-02-24,1927.75,1896.0,1862.0,0.0044288133385437245,2000,0.0,0.0
2000-02-25,1890.0,1850.0,1825.0,-0.019582414732200792,2000,0.0,-0.0
2000-02-28,1817.25,1817.0,1745.0,-0.038492063492063466,2000,0.0,-0.0
2000-02-29,1808.25,1759.0,1720.0,-0.004952538175815091,2000,0.0,-0.0
2000-03-01,1842.75,1775.0,1745.0,0.019079220240564077,2000,0.0,0.0
2000-03-02,1821.75,1766.0,1738.0,-0.01139601139601143,2000,0.0,-0.0
2000-03-03,1830.5,1764.0,1739.0,0.004803073967339033,2000,0.0,0.0
2000-03-06,1835.75,1772.0,1753.0,0.002868068833651982,2000,0.0,0.0
2000-03-07,1818.0,1780.0,1747.0,-0.009669072586136473,2000,0.0,-0.0
2000-03-08,1799.5,1737.0,1722.0,-0.010176017601760123,2000,-1.0,-0.0
2000-03-09,1824.5,1754.0,1732.0,0.013892747985551512,2000,-1.0,-0.013892747985551512
2000-03-10,1822.0,1767.0,1745.0,-0.0013702384214853147,2000,-1.0,0.0013702384214853147
2000-03-13,1805.75,1752.0,1732.0,-0.008918770581778257,2000,-1.0,0.008918770581778257
2000-03-14,1833.75,1778.0,1755.0,0.01550602242835386,2000,-1.0,-0.01550602242835386
2000-03-15,1839.5,1777.5,1766.0,0.003135650988411731,2000,-1.0,-0.003135650988411731
2000-03-16,1852.0,1794.0,1773.0,0.006795324816526227,2000,-1.0,-0.006795324816526227
2000-03-17,1864.5,1802.0,1770.0,0.006749460043196542,2000,-1.0,-0.006749460043196542
2000-03-20,1846.0,1797.0,1773.0,-0.009922231161169193,2000,-1.0,0.009922231161169193
2000-03-21,1868.25,1805.0,1773.0,0.012053087757313063,2000,-1.0,-0.012053087757313063
2000-03-22,1858.25,1812.0,1789.0,-0.005352602703064369,2000,-1.0,0.005352602703064369
2000-03-23,1858.0,1795.0,1782.0,-0.0001345351809498574,2000,-1.0,0.0001345351809498574
2000-03-24,1845.75,1801.0,1779.0,-0.006593110871905283,2000,-1.0,0.006593110871905283
2000-03-27,1829.25,1779.0,1737.0,-0.008939455505891925,2000,0.0,0.008939455505891925
2000-03-28,1834.5,1771.0,1752.0,0.002870028700286964,2000,1.0,0.0
2000-03-29,1842.0,1774.0,1760.0,0.004088307440719641,2000,0.0,0.004088307440719641
2000-03-30,1844.25,1786.0,1771.0,0.00122149837133545,2000,1.0,0.0
2000-03-31,1825.5,1770.0,1757.0,-0.010166734444896353,2000,0.0,-0.010166734444896353
2000-04-03,1816.5,1767.0,1733.0,-0.004930156121610518,2000,0.0,-0.0
2000-04-04,1816.5,1758.0,1746.0,0.0,2000,0.0,0.0
2000-04-05,1811.5,1769.0,1741.0,-0.002752546105147302,2000,0.0,-0.0
2000-04-06,1759.75,1718.0,1678.0,-0.028567485509246482,2000,-1.0,-0.0
2000-04-07,1753.25,1689.0,1675.0,-0.003693706492399529,2000,-1.0,0.003693706492399529
2000-04-10,1778.5,1713.0,1692.0,0.014401825181805217,2000,-1.0,-0.014401825181805217
2000-04-11,1792.25,1726.0,1693.0,0.00773123418611199,2000,-1.0,-0.00773123418611199
2000-04-12,1784.5,1721.0,1707.0,-0.004324173524898889,2000,-1.0,0.004324173524898889
2000-04-13,1766.0,1707.0,1692.0,-0.010367049593723698,2000,-1.0,0.010367049593723698
2000-04-14,1737.0,1684.0,1665.0,-0.01642129105322765,2000,-1.0,0.01642129105322765
2000-04-17,1722.25,1655.0,1639.0,-0.0084916522740357,2000,-1.0,0.0084916522740357
2000-04-18,1754.5,1684.0,1668.0,0.018725504427347994,2000,-1.0,-0.018725504427347994
2000-04-19,1779.0,1711.0,1690.0,0.013964092333998313,2000,-1.0,-0.013964092333998313
2000-04-20,1769.0,1704.0,1686.5,-0.005621135469364824,2000,-1.0,0.005621135469364824
2000-04-21,1769.0,1704.0,1686.5,0.0,2000,-1.0,-0.0
2000-04-24,1769.0,1704.0,1686.5,0.0,2000,-1.0,-0.0
2000-04-25,1798.5,1730.0,1689.0,0.01667608818541555,2000,-1.0,-0.01667608818541555
2000-04-26,1807.75,1746.0,1732.0,0.005143174867945577,2000,-1.0,-0.005143174867945577
2000-04-27,1797.0,1737.0,1721.0,-0.005946618724934294,2000,-1.0,0.005946618724934294
2000-04-28,1814.25,1760.0,1740.0,0.009599332220367351,2000,-1.0,-0.009599332220367351
2000-05-01,1814.25,1760.0,1740.0,0.0,2000,0.0,-0.0
2000-05-02,1846.5,1789.5,1747.0,0.01777594047126918,2000,1.0,0.0
2000-05-03,1830.0,1789.0,1770.0,-0.008935824532900094,2000,1.0,-0.008935824532900094
