date,price,high,low,ret,year,signal,strat_ret
2019-01-01,5957.5,6040.0,5887.5,0.0,2019,0.0,
2019-01-02,5851.0,5994.0,5831.0,-0.017876626101552717,2019,0.0,-0.0
2019-01-03,5759.0,5890.5,5725.0,-0.015723807896086184,2019,0.0,-0.0
2019-01-04,5940.5,5940.0,5772.5,0.03151588817503037,2019,0.0,0.0
2019-01-07,5944.5,5958.5,5898.5,0.0006733439946131625,2019,0.0,0.0
2019-01-08,5932.5,5947.0,5885.5,-0.0020186727226848555,2019,0.0,-0.0
2019-01-09,5995.0,6008.0,5926.0,0.010535187526337975,2019,0.0,0.0
2019-01-10,5972.0,5985.5,5905.0,-0.0038365304420350244,2019,0.0,-0.0
2019-01-11,5978.0,5983.5,5918.0,0.0010046885465506694,2019,0.0,0.0
2019-01-14,5940.75,5969.0,5877.5,-0.006231180996988939,2019,0.0,-0.0
2019-01-15,5959.0,5955.0,5898.0,0.0030720026932626876,2019,0.0,0.0
2019-01-16,6005.0,5990.0,5912.0,0.007719416009397628,2019,0.0,0.0
2019-01-17,6030.0,5998.5,5943.0,0.004163197335553814,2019,0.0,0.0
2019-01-18,6080.0,6077.0,6000.5,0.008291873963515828,2019,0.0,0.0
2019-01-21,6018.0,6047.5,5969.0,-0.010197368421052677,2019,0.0,-0.0
2019-01-22,5972.0,5992.0,5921.5,-0.00764373546028585,2019,0.0,-0.0
2019-01-23,5996.75,5982.5,5924.0,0.0041443402545211505,2019,0.0,0.0
2019-01-24,5971.0,5962.0,5897.0,-0.004293992579313843,2019,0.0,-0.0
2019-01-25,6096.0,6080.0,5918.5,0.020934516831351502,2019,0.0,0.0
2019-01-28,6048.25,6069.0,5976.5,-0.007833005249343827,2019,0.0,-0.0
2019-01-29,6085.5,6073.0,5988.5,0.006158806266275407,2019,0.0,0.0
2019-01-30,6170.0,6168.0,6051.5,0.013885465450661494,2019,0.0,0.0
2019-01-31,6204.0,6199.0,6139.0,0.005510534846029147,2019,0.0,0.0
2019-02-01,6183.5,6177.5,6105.0,-0.0033043197936815094,2019,0.0,-0.0
2019-02-04,6215.5,6192.0,6090.5,0.005175062666774588,2019,0.0,0.0
2019-02-05,6272.0,6242.0,6187.5,0.009090177781353015,2019,0.0,0.0
2019-02-06,6314.0,6284.5,6222.0,0.006696428571428603,2019,1.0,0.0
2019-02-07,6276.5,6289.5,6232.0,-0.005939182768451068,2019,1.0,-0.005939182768451068
2019-02-08,6239.5,6266.0,6194.5,-0.005895005178045087,2019,1.0,-0.005895005178045087
2019-02-11,6167.0,6192.5,6132.0,-0.011619520794935445,2019,1.0,-0.011619520794935445
2019-02-12,6125.25,6159.5,6085.0,-0.006769904329495757,2019,1.0,-0.006769904329495757
2019-02-13,6125.5,6149.0,6111.0,4.08146606261095e-05,2019,1.0,4.08146606261095e-05
2019-02-14,6143.0,6195.0,6105.0,0.0028569096400294924,2019,1.0,0.0028569096400294924
2019-02-15,6200.0,6226.0,6103.75,0.009278853980140056,2019,1.0,0.009278853980140056
2019-02-18,6284.5,6278.5,6187.0,0.013629032258064555,2019,1.0,0.013629032258064555
2019-02-19,6324.25,6334.0,6235.35,0.006325085527886021,2019,1.0,0.006325085527886021
2019-02-20,6416.0,6426.5,6324.5,0.014507649128355116,2019,1.0,0.014507649128355116
2019-02-21,6397.5,6407.0,6356.0,-0.0028834164588528166,2019,1.0,-0.0028834164588528166
2019-02-22,6479.5,6485.0,6359.0,0.012817506838608939,2019,1.0,0.012817506838608939
2019-02-25,6481.5,6540.0,6455.0,0.0003086657921136382,2019,1.0,0.0003086657921136382
2019-02-26,6499.25,6506.5,6449.5,0.0027385636041039607,2019,1.0,0.0027385636041039607
2019-02-27,6510.5,6531.0,6457.0,0.0017309689579567689,2019,1.0,0.0017309689579567689
2019-02-28,6521.0,6535.85,6467.0,0.001612779356424232,2019,1.0,0.001612779356424232
2019-03-01,6484.5,6536.0,6441.5,-0.005597301027449819,2019,1.0,-0.005597301027449819
2019-03-04,6407.5,6497.85,6377.0,-0.01187446988973706,2019,1.0,-0.01187446988973706
2019-03-05,6477.5,6498.5,6412.0,0.010924697619976609,2019,1.0,0.010924697619976609
2019-03-06,6484.5,6494.5,6439.0,0.0010806638363565213,2019,1.0,0.0010806638363565213
2019-03-07,6430.0,6464.5,6402.0,-0.008404657259619142,2019,1.0,-0.008404657259619142
2019-03-08,6406.0,6446.5,6351.0,-0.0037325038880249295,2019,1.0,-0.0037325038880249295
2019-03-11,6416.0,6427.5,6380.0,0.0015610365282547889,2019,1.0,0.0015610365282547889
2019-03-12,6488.5,6519.0,6422.5,0.011299875311720609,2019,1.0,0.011299875311720609
2019-03-13,6479.5,6487.5,6434.0,-0.0013870694305309073,2019,1.0,-0.0013870694305309073
2019-03-14,6425.0,6478.0,6370.5,-0.008411142835095253,2019,1.0,-0.008411142835095253
2019-03-15,6440.75,6457.5,6374.0,0.002451361867704227,2019,1.0,0.002451361867704227
2019-03-18,6433.25,6480.0,6413.0,-0.0011644606606373564,2019,1.0,-0.0011644606606373564
2019-03-19,6478.0,6503.0,6435.0,0.006956048653479874,2019,1.0,0.006956048653479874
2019-03-20,6476.5,6497.0,6431.0,-0.00023155294844090513,2019,1.0,-0.00023155294844090513
2019-03-21,6444.0,6555.5,6405.0,-0.005018142515247459,2019,1.0,-0.005018142515247459
2019-03-22,6335.0,6447.5,6300.5,-0.01691495965238987,2019,-1.0,-0.01691495965238987
2019-03-25,6366.0,6342.0,6295.0,0.0048934490923440155,2019,-1.0,-0.0048934490923440155
2019-03-26,6340.25,6354.5,6314.0,-0.004044926170279628,2019,-1.0,0.004044926170279628
2019-03-27,6349.0,6366.0,6302.5,0.0013800717637317828,2019,0.0,-0.0013800717637317828
2019-03-28,6370.75,6387.5,6317.0,0.003425736336430951,2019,0.0,0.0
2019-03-29,6489.5,6499.5,6369.5,0.018639877565435725,2019,0.0,0.0
2019-04-01,6481.5,6545.0,6440.0,-0.001232760613298356,2019,0.0,-0.0
2019-04-02,6450.5,6480.0,6410.0,-0.00478284347759006,2019,0.0,-0.0
2019-04-03,6508.0,6516.0,6427.0,0.008914037671498232,2019,0.0,0.0
2019-04-04,6478.5,6512.0,6419.0,-0.0045328826060233585,2019,0.0,-0.0
2019-04-05,6441.0,6466.0,6393.5,-0.005788376939106277,2019,0.0,-0.0
2019-04-08,6516.0,6502.0,6407.0,0.011644154634373516,2019,1.0,0.0
2019-04-09,6523.5,6540.0,6473.0,0.0011510128913443385,2019,1.0,0.0011510128913443385
2019-04-10,6508.0,6505.0,6434.0,-0.00237602513987889,2019,1.0,-0.00237602513987889
2019-04-11,6452.0,6474.5,6392.0,-0.008604794099569713,2019,1.0,-0.008604794099569713
2019-04-12,6521.5,6531.5,6401.0,0.010771853688778643,2019,1.0,0.010771853688778643
2019-04-15,6521.5,6511.5,6450.5,0.0,2019,1.0,0.0
2019-04-16,6534.25,6515.0,6470.5,0.0019550716859617623,2019,1.0,0.0019550716859617623
2019-04-17,6592.5,6608.5,6480.0,0.008914565558403753,2019,1.0,0.008914565558403753
2019-04-18,6515.75,6545.5,6426.5,-0.011642017444065234,2019,1.0,-0.011642017444065234
2019-04-19,6515.75,6545.5,6426.5,0.0,2019,1.0,0.0
2019-04-22,6515.75,6545.5,6426.5,0.0,2019,1.0,0.0
2019-04-23,6445.5,6454.0,6380.0,-0.01078156773970762,2019,1.0,-0.01078156773970762
2019-04-24,6480.75,6455.0,6399.0,0.005468931812892652,2019,1.0,0.005468931812892652
2019-04-25,6401.25,6456.0,6340.0,-0.012267098715426417,2019,1.0,-0.012267098715426417
2019-04-26,6436.0,6415.0,6354.0,0.005428627221245819,2019,0.0,0.005428627221245819
2019-04-29,6437.75,6424.0,6356.0,0.00027190801740206716,2019,0.0,0.0
2019-04-30,6455.0,6461.5,6376.5,0.002679507591938135,2019,0.0,0.0
2019-05-01,6285.0,6443.0,6215.5,-0.026336173508907823,2019,-1.0,-0.0
2019-05-02,6210.0,6228.5,6150.0,-0.011933174224343701,2019,-1.0,0.011933174224343701
2019-05-03,6278.0,6265.5,6150.0,0.010950080515298,2019,-1.0,-0.010950080515298
2019-05-06,6278.0,6265.5,6150.0,0.0,2019,-1.0,-0.0
2019-05-07,6232.0,6290.0,6151.0,-0.007327174259318281,2019,-1.0,0.007327174259318281
2019-05-08,6201.5,6227.0,6119.0,-0.00489409499358151,2019,-1.0,0.00489409499358151
2019-05-09,6143.5,6150.0,6058.5,-0.009352575989679868,2019,-1.0,0.009352575989679868
2019-05-10,6174.5,6194.0,6106.0,0.005045983559859968,2019,-1.0,-0.005045983559859968
2019-05-13,6057.5,6118.5,6007.5,-0.01894890274516159,2019,-1.0,0.01894890274516159
2019-05-14,6079.0,6068.0,6019.0,0.0035493190260007523,2019,-1.0,-0.0035493190260007523
2019-05-15,6136.5,6094.5,6017.5,0.00945879256456661,2019,-1.0,-0.00945879256456661
2019-05-16,6155.5,6143.0,6067.0,0.0030962274912409438,2019,-1.0,-0.0030962274912409438
2019-05-17,6110.25,6094.5,6027.5,-0.007351149378604482,2019,-1.0,0.007351149378604482
2019-05-20,6084.25,6079.0,6004.0,-0.004255145043165154,2019,-1.0,0.004255145043165154
2019-05-21,6058.25,6066.5,5989.0,-0.004273328676500765,2019,-1.0,0.004273328676500765
2019-05-22,5999.5,6011.5,5913.5,-0.009697519910865315,2019,-1.0,0.009697519910865315
2019-05-23,5993.5,5947.0,5880.0,-0.001000083340278346,2019,-1.0,0.001000083340278346
2019-05-24,6016.5,5988.5,5940.0,0.003837490614832628,2019,-1.0,-0.003837490614832628
2019-05-27,6016.5,5988.5,5940.0,0.0,2019,-1.0,-0.0
2019-05-28,6018.5,6010.0,5947.0,0.00033241918058668496,2019,-1.0,-0.00033241918058668496
2019-05-29,5953.0,5962.0,5873.5,-0.010883110409570462,2019,-1.0,0.010883110409570462
2019-05-30,5924.5,5915.5,5832.5,-0.0047875020997816264,2019,-1.0,0.0047875020997816264
2019-05-31,5893.0,5880.0,5804.35,-0.0053169043801164495,2019,-1.0,0.0053169043801164495
2019-06-03,5905.0,5870.0,5801.0,0.0020363142711692372,2019,-1.0,-0.0020363142711692372
2019-06-04,5939.75,5895.0,5824.5,0.005884843353090696,2019,-1.0,-0.005884843353090696
2019-06-05,5866.5,5903.5,5789.0,-0.01233216886232591,2019,-1.0,0.01233216886232591
2019-06-06,5865.5,5849.0,5795.0,-0.0001704593880508254,2019,-1.0,0.0001704593880508254
2019-06-07,5857.0,5867.5,5740.0,-0.0014491518199641895,2019,-1.0,0.0014491518199641895
2019-06-10,5915.75,5881.0,5801.5,0.010030732456889124,2019,-1.0,-0.010030732456889124
2019-06-11,5922.0,5956.0,5868.5,0.0010565017115327091,2019,-1.0,-0.0010565017115327091
2019-06-12,5902.5,5900.0,5826.0,-0.0032928064842958626,2019,-1.0,0.0032928064842958626
2019-06-13,5905.0,5873.0,5811.5,0.00042354934349853046,2019,-1.0,-0.00042354934349853046
2019-06-14,5861.5,5880.5,5806.0,-0.007366638441998252,2019,-1.0,0.007366638441998252
2019-06-17,5885.75,5857.0,5776.0,0.00413716625437166,2019,-1.0,-0.00413716625437166
2019-06-18,5983.0,5974.0,5832.5,0.016522957991759846,2019,-1.0,-0.016522957991759846
2019-06-19,5959.0,5967.5,5895.0,-0.004011365535684486,2019,-1.0,0.004011365535684486
2019-06-20,6015.0,6027.0,5936.0,0.00939754992448405,2019,0.0,-0.00939754992448405
2019-06-21,6016.75,6003.0,5928.0,0.00029093931837076425,2019,0.0,0.0
2019-06-24,6009.0,5976.0,5914.5,-0.0012880708023434995,2019,0.0,-0.0
2019-06-25,6088.5,6051.5,5952.0,0.013230154767848168,2019,0.0,0.0
2019-06-26,6037.5,6063.5,5963.0,-0.00837644740083765,2019,0.5,-0.0
2019-06-27,6036.75,6016.0,5960.0,-0.0001242236024844301,2019,0.5,-6.211180124221505e-05
2019-06-28,6032.5,6017.0,5965.0,-0.0007040212034621351,2019,0.5,-0.0003520106017310676
2019-07-01,6005.5,6075.0,5936.0,-0.004475756319933688,2019,0.5,-0.002237878159966844
2019-07-02,5945.75,5964.5,5881.0,-0.009949213221213893,2019,0.0,-0.004974606610606946
2019-07-03,5973.0,5937.5,5840.0,0.0045831055796157205,2019,1.7,0.0
2019-07-04,5974.5,5938.0,5900.5,0.00025113008538424353,2019,1.7,0.00042692114515321397
2019-07-05,5960.0,5925.0,5858.5,-0.00242698133735042,2019,1.7,-0.004125868273495714
2019-07-08,5953.5,5946.5,5878.5,-0.0010906040268456874,2019,1.7,-0.0018540268456376686
2019-07-09,5883.0,5882.0,5791.0,-0.011841773746535611,2019,0.0,-0.02013101536911054
2019-07-10,5996.0,5966.5,5818.5,0.019207887132415502,2019,1.7,0.0
2019-07-11,6012.0,5965.5,5924.0,0.0026684456304202353,2019,1.7,0.0045363575717144
