report_date	publication_date	balance_year	mine_production_kt	refined_production_kt	refined_demand_kt	balance_kt	notes	
Q1 2009	Apr-09	2007	15748	17908	18126	-218	Updated with 2008-09 revision	
Q1 2009	Apr-09	2008	15855	18012	17950	62	Near balanced market	
Q1 2009	Apr-09	2009	15403	17729	17326	403	Surplus from weak OECD demand	
Q1 2009	Apr-09	2010	16840	18489	18162	327	Surplus narrowing as recovery builds	
Q2 2009	Jul-09	2007	15700	17860	18174	-314	Deficit after China demand revision	
Q2 2009	Jul-09	2008	15900	18003	17989	14	Essentially balanced	
Q2 2009	Jul-09	2009	15407	17768	17227	541	Large surplus from weaker demand	
Q2 2009	Jul-09	2010	17019	18656	18331	325	Surplus moderates as demand recovers	
Q3 2009	Oct-09	2008	15820	17995	17938	57	Demand recovery visible	
Q3 2009	Oct-09	2009	15410	17774	17242	532	Sustained surplus despite China demand	
Q3 2009	Oct-09	2010	16990	18631	18299	332	Moderate surplus	 recovery stabilising
Q2 2010	Jul-10	2008	15900	18007	17970	37	Minor balance	
Q2 2010	Jul-10	2009	15408	17771	17230	541	Confirmed surplus	
Q2 2010	Jul-10	2010	16999	18635	18290	345	Small surplus maintained	
Q2 2010	Jul-10	2011	17430	18990	19153	-163	Market expected to swing to deficit	
Q3 2010	Oct-10	2009	15410	17771	17230	541	Confirmed surplus from weak OECD demand	
Q3 2010	Oct-10	2010	16999	18635	18290	345	Surplus maintained as demand recovered	
Q3 2010	Oct-10	2011	17430	18990	19153	-163	Forecast shift to deficit	
Q2 2011	Jul-11	2010	16980	18580	18262	318	Small surplus; recovery stabilising	
Q2 2011	Jul-11	2011	17400	19010	19152	-142	Mild deficit due to China strength	
Q2 2011	Jul-11	2012	17850	19480	19700	-220	Projected widening deficit	
Q3 2011	Oct-11	2010	17000	18650	18300	350	Final 2010 surplus confirmed	
Q3 2011	Oct-11	2011	17450	19020	19170	-150	Deficit from supply disruptions	
Q3 2011	Oct-11	2012	17900	19460	19730	-270	Deficit forecast sustained	
Q4 2011	Dec-11	2010	17020	18680	18330	350	Final 2010 surplus confirmed	
Q4 2011	Dec-11	2011	17480	19050	19170	-120	Deficit persists	
Q4 2011	Dec-11	2012	17940	19520	19770	-250	Forecast sustained deficit into 2012	
Q4 2011 / Balance 2011 Report	Jan-12	2010	16254	19047	19386	-339	Final 2010 deficit	
Q4 2011 / Balance 2011 Report	Jan-12	2011	16700	19654	19843	-189	Deficit maintained	
Q4 2011 / Balance 2011 Report	Jan-12	2012	18544	20278	20501	-223	Forecast deficit	
Q1 2012	Apr-12	2011	16700	19654	19843	-189	Final 2011 deficit	
